okrsek;CSSD;SSO;CPS;TOP09;HLAVU_VZHURU;ODS;RDS;KAN;PHZ;SSCR;KDU_CSL;CIBULKA;SUVERENITA;AKTIV_NO;SPOZ;OB11;USVIT;DSSS;blank;ANO;KSCM;LEV21;SZ;KČ
1;45;44;24;258;1;89;0;0;5;1;119;0;0;0;7;2;14;0;0;75;28;0;70;3
2;92;31;26;254;2;106;0;0;8;0;56;3;2;2;3;1;19;1;0;79;35;0;78;2
3;32;18;8;156;5;49;0;0;4;1;79;0;0;0;5;0;10;2;0;49;22;1;33;0
4;54;12;14;183;2;107;0;0;6;0;51;0;0;1;3;0;8;1;0;49;22;0;55;1
5;41;21;20;170;3;53;0;0;2;0;21;1;0;0;2;0;11;1;0;47;18;0;39;1
6;79;44;41;283;2;136;0;0;6;1;67;2;0;0;6;2;19;4;0;85;37;0;113;5
7;68;12;41;211;1;120;0;0;3;1;49;4;0;2;8;0;19;2;0;86;44;0;64;3
8;59;24;32;245;4;102;0;0;8;0;45;0;2;0;0;0;12;1;0;98;32;0;61;2
9;57;22;19;186;3;119;0;0;2;0;46;0;1;0;6;0;12;3;0;81;19;1;49;3
10;46;14;16;116;2;50;0;0;3;0;35;1;0;0;5;1;7;0;0;35;14;0;36;0
11;110;34;28;221;3;106;0;0;5;2;47;2;1;0;16;0;21;2;0;107;58;1;78;1
12;64;17;26;184;3;94;0;0;4;1;38;1;0;0;4;0;18;1;0;68;23;0;69;1
13;45;9;16;129;3;70;0;0;0;0;21;0;0;0;3;0;6;1;0;38;13;0;25;0
14;117;25;31;248;3;104;0;0;9;2;57;3;0;0;4;0;18;2;0;104;45;0;59;4
15;101;36;47;258;4;126;0;0;5;2;63;1;0;1;13;0;25;3;0;107;52;0;79;4
16;61;29;23;179;3;87;0;0;7;0;49;3;0;0;4;0;20;1;0;88;36;0;72;1
17;86;28;28;183;5;86;0;0;4;0;29;1;1;0;3;0;20;3;0;99;56;0;41;0
18;63;38;28;196;4;107;0;0;4;1;57;2;0;0;7;0;18;1;0;115;36;0;54;2
19;65;21;27;225;3;108;0;0;6;0;50;1;2;0;2;2;23;3;0;98;35;0;63;5
20;53;16;24;163;8;82;0;0;9;1;25;0;1;0;1;0;11;0;0;75;35;2;47;3
21;72;31;34;212;4;110;0;0;4;2;63;0;1;0;5;1;16;2;0;88;32;0;83;1
22;34;13;20;98;0;46;0;0;5;0;17;3;0;0;4;0;12;1;0;56;17;0;41;0
23;47;9;14;68;2;34;0;0;5;1;11;1;1;0;2;0;4;0;0;41;24;0;33;0
24;60;27;28;112;0;68;0;0;2;1;42;1;0;1;4;1;16;1;0;45;24;0;35;0
25;65;28;24;164;0;78;0;0;4;0;25;0;0;0;4;1;12;2;0;80;31;1;49;1
26;68;16;9;106;1;75;0;0;3;0;28;1;0;0;3;1;9;0;0;55;11;1;41;4
27;46;22;23;141;1;65;0;0;3;0;29;0;0;0;3;1;19;1;0;55;16;1;81;4
28;56;17;15;149;0;79;0;0;4;0;25;3;0;0;0;0;16;1;0;52;30;0;63;0
29;55;19;17;97;2;63;0;0;0;0;22;1;0;0;1;0;7;3;0;54;18;0;44;3
30;51;25;20;151;4;62;0;0;3;1;53;2;0;0;6;1;2;2;0;61;24;1;54;3
31;45;10;17;128;5;83;0;0;6;2;26;2;0;0;4;1;17;0;0;62;21;0;45;2
