OBEC,OKRSEK,KSTRANA,POC_HLASU
500054,1,1,45
500054,1,2,44
500054,1,3,24
500054,1,4,258
500054,1,5,1
500054,1,6,89
500054,1,9,5
500054,1,10,1
500054,1,11,119
500054,1,15,7
500054,1,16,2
500054,1,17,14
500054,1,20,75
500054,1,21,28
500054,1,23,70
500054,1,24,3
500054,2,1,92
500054,2,2,31
500054,2,3,26
500054,2,4,254
500054,2,5,2
500054,2,6,106
500054,2,9,8
500054,2,11,56
500054,2,12,3
500054,2,13,2
500054,2,14,2
500054,2,15,3
500054,2,16,1
500054,2,17,19
500054,2,18,1
500054,2,20,79
500054,2,21,35
500054,2,23,78
500054,2,24,2
500054,3,1,32
500054,3,2,18
500054,3,3,8
500054,3,4,156
500054,3,5,5
500054,3,6,49
500054,3,9,4
500054,3,10,1
500054,3,11,79
500054,3,15,5
500054,3,17,10
500054,3,18,2
500054,3,20,49
500054,3,21,22
500054,3,22,1
500054,3,23,33
500054,4,1,54
500054,4,2,12
500054,4,3,14
500054,4,4,183
500054,4,5,2
500054,4,6,107
500054,4,9,6
500054,4,11,51
500054,4,14,1
500054,4,15,3
500054,4,17,8
500054,4,18,1
500054,4,20,49
500054,4,21,22
500054,4,23,55
500054,4,24,1
500054,5,1,41
500054,5,2,21
500054,5,3,20
500054,5,4,170
500054,5,5,3
500054,5,6,53
500054,5,9,2
500054,5,11,21
500054,5,12,1
500054,5,15,2
500054,5,17,11
500054,5,18,1
500054,5,20,47
500054,5,21,18
500054,5,23,39
500054,5,24,1
500054,6,1,79
500054,6,2,44
500054,6,3,41
500054,6,4,283
500054,6,5,2
500054,6,6,136
500054,6,9,6
500054,6,10,1
500054,6,11,67
500054,6,12,2
500054,6,15,6
500054,6,16,2
500054,6,17,19
500054,6,18,4
500054,6,20,85
500054,6,21,37
500054,6,23,113
500054,6,24,5
500054,7,1,68
500054,7,2,12
500054,7,3,41
500054,7,4,211
500054,7,5,1
500054,7,6,120
500054,7,9,3
500054,7,10,1
500054,7,11,49
500054,7,12,4
500054,7,14,2
500054,7,15,8
500054,7,17,19
500054,7,18,2
500054,7,20,86
500054,7,21,44
500054,7,23,64
500054,7,24,3
500054,8,1,59
500054,8,2,24
500054,8,3,32
500054,8,4,245
500054,8,5,4
500054,8,6,102
500054,8,9,8
500054,8,11,45
500054,8,13,2
500054,8,17,12
500054,8,18,1
500054,8,20,98
500054,8,21,32
500054,8,23,61
500054,8,24,2
500054,9,1,57
500054,9,2,22
500054,9,3,19
500054,9,4,186
500054,9,5,3
500054,9,6,119
500054,9,9,2
500054,9,11,46
500054,9,13,1
500054,9,15,6
500054,9,17,12
500054,9,18,3
500054,9,20,81
500054,9,21,19
500054,9,22,1
500054,9,23,49
500054,9,24,3
500054,10,1,46
500054,10,2,14
500054,10,3,16
500054,10,4,116
500054,10,5,2
500054,10,6,50
500054,10,9,3
500054,10,11,35
500054,10,12,1
500054,10,15,5
500054,10,16,1
500054,10,17,7
500054,10,20,35
500054,10,21,14
500054,10,23,36
500054,11,1,110
500054,11,2,34
500054,11,3,28
500054,11,4,221
500054,11,5,3
500054,11,6,106
500054,11,9,5
500054,11,10,2
500054,11,11,47
500054,11,12,2
500054,11,13,1
500054,11,15,16
500054,11,17,21
500054,11,18,2
500054,11,20,107
500054,11,21,58
500054,11,22,1
500054,11,23,78
500054,11,24,1
500054,12,1,64
500054,12,2,17
500054,12,3,26
500054,12,4,184
500054,12,5,3
500054,12,6,94
500054,12,9,4
500054,12,10,1
500054,12,11,38
500054,12,12,1
500054,12,15,4
500054,12,17,18
500054,12,18,1
500054,12,20,68
500054,12,21,23
500054,12,23,69
500054,12,24,1
500054,13,1,45
500054,13,2,9
500054,13,3,16
500054,13,4,129
500054,13,5,3
500054,13,6,70
500054,13,11,21
500054,13,15,3
500054,13,17,6
500054,13,18,1
500054,13,20,38
500054,13,21,13
500054,13,23,25
500054,14,1,117
500054,14,2,25
500054,14,3,31
500054,14,4,248
500054,14,5,3
500054,14,6,104
500054,14,9,9
500054,14,10,2
500054,14,11,57
500054,14,12,3
500054,14,15,4
500054,14,17,18
500054,14,18,2
500054,14,20,104
500054,14,21,45
500054,14,23,59
500054,14,24,4
500054,15,1,101
500054,15,2,36
500054,15,3,47
500054,15,4,258
500054,15,5,4
500054,15,6,126
500054,15,9,5
500054,15,10,2
500054,15,11,63
500054,15,12,1
500054,15,14,1
500054,15,15,13
500054,15,17,25
500054,15,18,3
500054,15,20,107
500054,15,21,52
500054,15,23,79
500054,15,24,4
500054,16,1,61
500054,16,2,29
500054,16,3,23
500054,16,4,179
500054,16,5,3
500054,16,6,87
500054,16,9,7
500054,16,11,49
500054,16,12,3
500054,16,15,4
500054,16,17,20
500054,16,18,1
500054,16,20,88
500054,16,21,36
500054,16,23,72
500054,16,24,1
500054,17,1,86
500054,17,2,28
500054,17,3,28
500054,17,4,183
500054,17,5,5
500054,17,6,86
500054,17,9,4
500054,17,11,29
500054,17,12,1
500054,17,13,1
500054,17,15,3
500054,17,17,20
500054,17,18,3
500054,17,20,99
500054,17,21,56
500054,17,23,41
500054,18,1,63
500054,18,2,38
500054,18,3,28
500054,18,4,196
500054,18,5,4
500054,18,6,107
500054,18,9,4
500054,18,10,1
500054,18,11,57
500054,18,12,2
500054,18,15,7
500054,18,17,18
500054,18,18,1
500054,18,20,115
500054,18,21,36
500054,18,23,54
500054,18,24,2
500054,19,1,65
500054,19,2,21
500054,19,3,27
500054,19,4,225
500054,19,5,3
500054,19,6,108
500054,19,9,6
500054,19,11,50
500054,19,12,1
500054,19,13,2
500054,19,15,2
500054,19,16,2
500054,19,17,23
500054,19,18,3
500054,19,20,98
500054,19,21,35
500054,19,23,63
500054,19,24,5
500054,20,1,53
500054,20,2,16
500054,20,3,24
500054,20,4,163
500054,20,5,8
500054,20,6,82
500054,20,9,9
500054,20,10,1
500054,20,11,25
500054,20,13,1
500054,20,15,1
500054,20,17,11
500054,20,20,75
500054,20,21,35
500054,20,22,2
500054,20,23,47
500054,20,24,3
500054,21,1,72
500054,21,2,31
500054,21,3,34
500054,21,4,212
500054,21,5,4
500054,21,6,110
500054,21,9,4
500054,21,10,2
500054,21,11,63
500054,21,13,1
500054,21,15,5
500054,21,16,1
500054,21,17,16
500054,21,18,2
500054,21,20,88
500054,21,21,32
500054,21,23,83
500054,21,24,1
500089,22,1,34
500089,22,2,13
500089,22,3,20
500089,22,4,98
500089,22,6,46
500089,22,9,5
500089,22,11,17
500089,22,12,3
500089,22,15,4
500089,22,17,12
500089,22,18,1
500089,22,20,56
500089,22,21,17
500089,22,23,41
500089,23,1,47
500089,23,2,9
500089,23,3,14
500089,23,4,68
500089,23,5,2
500089,23,6,34
500089,23,9,5
500089,23,10,1
500089,23,11,11
500089,23,12,1
500089,23,13,1
500089,23,15,2
500089,23,17,4
500089,23,20,41
500089,23,21,24
500089,23,23,33
500089,24,1,60
500089,24,2,27
500089,24,3,28
500089,24,4,112
500089,24,6,68
500089,24,9,2
500089,24,10,1
500089,24,11,42
500089,24,12,1
500089,24,14,1
500089,24,15,4
500089,24,16,1
500089,24,17,16
500089,24,18,1
500089,24,20,45
500089,24,21,24
500089,24,23,35
500089,25,1,65
500089,25,2,28
500089,25,3,24
500089,25,4,164
500089,25,6,78
500089,25,9,4
500089,25,11,25
500089,25,15,4
500089,25,16,1
500089,25,17,12
500089,25,18,2
500089,25,20,80
500089,25,21,31
500089,25,22,1
500089,25,23,49
500089,25,24,1
500089,26,1,68
500089,26,2,16
500089,26,3,9
500089,26,4,106
500089,26,5,1
500089,26,6,75
500089,26,9,3
500089,26,11,28
500089,26,12,1
500089,26,15,3
500089,26,16,1
500089,26,17,9
500089,26,20,55
500089,26,21,11
500089,26,22,1
500089,26,23,41
500089,26,24,4
500089,27,1,46
500089,27,2,22
500089,27,3,23
500089,27,4,141
500089,27,5,1
500089,27,6,65
500089,27,9,3
500089,27,11,29
500089,27,15,3
500089,27,16,1
500089,27,17,19
500089,27,18,1
500089,27,20,55
500089,27,21,16
500089,27,22,1
500089,27,23,81
500089,27,24,4
500089,28,1,56
500089,28,2,17
500089,28,3,15
500089,28,4,149
500089,28,6,79
500089,28,9,4
500089,28,11,25
500089,28,12,3
500089,28,17,16
500089,28,18,1
500089,28,20,52
500089,28,21,30
500089,28,23,63
500089,29,1,55
500089,29,2,19
500089,29,3,17
500089,29,4,97
500089,29,5,2
500089,29,6,63
500089,29,11,22
500089,29,12,1
500089,29,15,1
500089,29,17,7
500089,29,18,3
500089,29,20,54
500089,29,21,18
500089,29,23,44
500089,29,24,3
500089,30,1,51
500089,30,2,25
500089,30,3,20
500089,30,4,151
500089,30,5,4
500089,30,6,62
500089,30,9,3
500089,30,10,1
500089,30,11,53
500089,30,12,2
500089,30,15,6
500089,30,16,1
500089,30,17,2
500089,30,18,2
500089,30,20,61
500089,30,21,24
500089,30,22,1
500089,30,23,54
500089,30,24,3
500089,31,1,45
500089,31,2,10
500089,31,3,17
500089,31,4,128
500089,31,5,5
500089,31,6,83
500089,31,9,6
500089,31,10,2
500089,31,11,26
500089,31,12,2
500089,31,15,4
500089,31,16,1
500089,31,17,17
500089,31,20,62
500089,31,21,21
500089,31,23,45
500089,31,24,2
500089,32,1,49
500089,32,2,17
500089,32,3,16
500089,32,4,130
500089,32,5,5
500089,32,6,72
500089,32,9,2
500089,32,11,22
500089,32,12,1
500089,32,15,1
500089,32,16,1
500089,32,17,16
500089,32,18,3
500089,32,20,68
500089,32,21,26
500089,32,23,42
500089,32,24,4
500089,33,1,43
500089,33,2,21
500089,33,3,36
500089,33,4,106
500089,33,6,60
500089,33,9,6
500089,33,10,1
500089,33,11,34
500089,33,12,3
500089,33,13,2
500089,33,15,6
500089,33,17,6
500089,33,20,56
500089,33,21,37
500089,33,23,27
500089,33,24,2
500089,34,1,52
500089,34,2,17
500089,34,3,15
500089,34,4,103
500089,34,6,50
500089,34,9,4
500089,34,10,2
500089,34,11,23
500089,34,15,4
500089,34,16,2
500089,34,17,9
500089,34,20,36
500089,34,21,16
500089,34,23,34
500089,35,1,40
500089,35,2,18
500089,35,3,11
500089,35,4,97
500089,35,5,2
500089,35,6,52
500089,35,9,5
500089,35,10,1
500089,35,11,28
500089,35,15,2
500089,35,17,9
500089,35,20,61
500089,35,21,26
500089,35,22,1
500089,35,23,35
500089,36,1,33
500089,36,2,10
500089,36,3,20
500089,36,4,119
500089,36,5,1
500089,36,6,60
500089,36,9,1
500089,36,10,1
500089,36,11,15
500089,36,12,2
500089,36,13,1
500089,36,15,1
500089,36,17,8
500089,36,18,1
500089,36,20,47
500089,36,21,17
500089,36,23,25
500089,37,1,62
500089,37,2,24
500089,37,3,15
500089,37,4,160
500089,37,5,2
500089,37,6,87
500089,37,9,2
500089,37,11,27
500089,37,13,1
500089,37,15,5
500089,37,17,11
500089,37,20,70
500089,37,21,37
500089,37,23,38
500089,37,24,1
500089,38,1,47
500089,38,2,23
500089,38,3,24
500089,38,4,117
500089,38,5,2
500089,38,6,75
500089,38,9,4
500089,38,10,2
500089,38,11,30
500089,38,15,4
500089,38,17,5
500089,38,20,75
500089,38,21,22
500089,38,23,49
500089,39,1,79
500089,39,2,13
500089,39,3,19
500089,39,4,113
500089,39,5,2
500089,39,6,88
500089,39,9,3
500089,39,10,2
500089,39,11,18
500089,39,15,3
500089,39,17,10
500089,39,18,3
500089,39,20,70
500089,39,21,49
500089,39,23,32
500089,39,24,2
500089,40,1,54
500089,40,2,24
500089,40,3,7
500089,40,4,80
500089,40,6,67
500089,40,9,2
500089,40,10,2
500089,40,11,28
500089,40,15,1
500089,40,17,8
500089,40,18,1
500089,40,20,45
500089,40,21,20
500089,40,23,41
500089,40,24,1
500089,41,1,60
500089,41,2,24
500089,41,3,25
500089,41,4,128
500089,41,6,76
500089,41,9,3
500089,41,11,26
500089,41,12,2
500089,41,13,1
500089,41,15,3
500089,41,17,17
500089,41,18,3
500089,41,20,73
500089,41,21,27
500089,41,23,50
500089,41,24,1
500089,42,1,53
500089,42,2,17
500089,42,3,20
500089,42,4,103
500089,42,5,8
500089,42,6,52
500089,42,9,2
500089,42,10,1
500089,42,11,27
500089,42,12,2
500089,42,13,2
500089,42,15,4
500089,42,17,15
500089,42,18,1
500089,42,20,55
500089,42,21,36
500089,42,22,1
500089,42,23,32
500089,42,24,1
500089,43,1,50
500089,43,2,24
500089,43,3,14
500089,43,4,135
500089,43,5,3
500089,43,6,81
500089,43,11,24
500089,43,12,3
500089,43,15,3
500089,43,17,18
500089,43,18,1
500089,43,20,75
500089,43,21,11
500089,43,23,35
500089,43,24,2
500089,44,1,86
500089,44,2,20
500089,44,3,13
500089,44,4,134
500089,44,5,1
500089,44,6,75
500089,44,9,3
500089,44,11,36
500089,44,12,3
500089,44,13,1
500089,44,15,2
500089,44,17,14
500089,44,18,1
500089,44,20,91
500089,44,21,44
500089,44,23,33
500089,45,1,59
500089,45,2,28
500089,45,3,18
500089,45,4,146
500089,45,5,1
500089,45,6,67
500089,45,11,30
500089,45,12,2
500089,45,13,1
500089,45,17,10
500089,45,18,2
500089,45,20,92
500089,45,21,30
500089,45,23,38
500089,45,24,4
500089,46,1,51
500089,46,2,17
500089,46,3,14
500089,46,4,122
500089,46,5,3
500089,46,6,66
500089,46,9,2
500089,46,10,2
500089,46,11,27
500089,46,13,3
500089,46,15,6
500089,46,17,6
500089,46,18,2
500089,46,20,73
500089,46,21,28
500089,46,23,47
500089,46,24,1
500089,47,4,113
500089,47,5,2
500089,47,6,71
500089,47,9,1
500089,47,10,1
500089,47,11,23
500089,47,12,1
500089,47,15,1
500089,47,16,1
500089,47,17,5
500089,47,20,69
500089,47,21,14
500089,47,23,41
500089,47,24,1
500089,47,1,31
500089,47,2,13
500089,47,3,17
500089,48,1,72
500089,48,2,28
500089,48,3,27
500089,48,4,161
500089,48,6,57
500089,48,9,3
500089,48,10,2
500089,48,11,28
500089,48,12,2
